ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60630,17,04/19/2020,04/25/2020,109,312,190,544.1,375,1386,654,2417,0.2,0.2,4,14,7.0,24.4,57344,60630-2020-17,POINT (-87.759611 41.971261)
60661,23,05/31/2020,06/06/2020,1,43,10,433.2,64,481,645,4845.9,0.0,0.1,0,0,0.0,0.0,9926,60661-2020-23,POINT (-87.644283 41.882786)
60641,19,05/03/2020,05/09/2020,186,930,262,1309.4,877,3230,1235,4547.8,0.2,0.3,9,31,12.7,43.6,71023,60641-2020-19,POINT (-87.746791 41.946682)
60601,19,05/03/2020,05/09/2020,7,65,48,442.9,76,344,518,2344.1,0.1,0.1,1,4,6.8,27.3,14675,60601-2020-19,POINT (-87.622844 41.886262)
60617,22,05/24/2020,05/30/2020,70,1079,85,1307.3,1000,6756,1212,8185.7,0.1,0.2,7,52,8.5,63.0,82534,60617-2020-22,POINT (-87.556897 41.721257)
60611,13,03/22/2020,03/28/2020,25,41,77,126.4,133,232,410,715.5,0.2,0.1,0,0,0.0,0.0,32426,60611-2020-13,POINT (-87.620291 41.894734)
60641,20,05/10/2020,05/16/2020,199,1129,280,1589.6,941,4171,1325,5872.7,0.3,0.3,7,38,9.9,53.5,71023,60641-2020-20,POINT (-87.746791 41.946682)
60641,21,05/17/2020,05/23/2020,170,1299,239,1829,1026,5197,1445,7317.3,0.2,0.3,3,41,4.2,57.7,71023,60641-2020-21,POINT (-87.746791 41.946682)
60605,30,07/19/2020,07/25/2020,14,276,51,1002.9,603,5202,2191,18903.3,0.0,0.0,0,1,0.0,3.6,27519,60605-2020-30,POINT (-87.623449 41.867824)
60643,10,03/01/2020,03/07/2020,,,,,1,1,2,2,0.0,0.0,0,0,0.0,0.0,49870,60643-2020-10,POINT (-87.662381 41.700445)
60633,24,06/07/2020,06/13/2020,3,125,23,971.2,86,837,668,6503,0.0,0.2,0,3,0.0,23.3,12871,60633-2020-24,POINT (-87.556037 41.653147)
60617,32,08/02/2020,08/08/2020,73,1720,88,2084,1231,19033,1492,23060.8,0.1,0.1,4,73,4.8,88.4,82534,60617-2020-32,POINT (-87.556897 41.721257)
